target,category,input_mode,live_source_access,moves_latest,publication,status,notes
help,governance,source,no,no,no,active,Default goal and human-readable command authority
run-env,live_wrapper,env_file,yes,yes,yes,active,Loads ENV_FILE then delegates to run-full
doctor,validation,source,no,no,no,active,Compile/import check
validate,validation,source,no,no,no,active,Doctor plus contracts and pytest
clean-derived,maintenance,generated_paths,no,no,no,active,Destructive generated-output cleanup
smoke-ingest,smoke,fixture,no,no,no,active,Fixture ledger ingest
smoke-materialize,smoke,fixture,no,no,no,active,Fixture governed materialization
smoke-core,smoke,fixture,no,no,no,active,Offline core smoke
smoke-full,smoke,fixture,no,no,dry-run,active,Smoke core plus validation and publication dry-run
smoke-usd-ccl-valuation,smoke,fixture,no,no,no,active,Isolated valuation fixture
smoke-usd-ccl-management-flows,smoke,fixture,no,no,no,active,Isolated management-flow fixture
run-ingest,live_source,generated_run_id,yes,no,no,active,Focused live canonical ledger ingest
run-materialize,stage,exact_run_id,no,no,no,active,Existing canonical ledger to governed semantic/cash outputs
run-canonical,live_composite,generated_run_id,yes,no,no,active,Ordered run-ingest then run-materialize
run-debt,stage,exact_run_id,no,no,no,active,Resolution balances monthly debt marts and treasury
run-metrics,stage,exact_run_id,no,no,no,active,Governed frontier and annual dashboard
run-reports,stage,exact_run_id,no,no,no,active,Finished HTML/PDF report bundle
run-full,live_composite,generated_run_id,yes,yes,yes,active,Ordered canonical debt metrics reports latest publication release check
run-usd-ccl-valuation,sidecar,exact_run_root,no,no,no,active,Offline valuation sidecar
run-usd-ccl-management-flows,sidecar,exact_run_root,no,no,no,active,Offline management-flow sidecar
publish-latest,publication,aligned_latest,no,no,yes,active,Governed machine-artifact publication
publish-reports,publication,aligned_latest,no,no,yes,active,Finished document publication
release-check,release,public_bundle,no,no,no,active,Release-readiness checks
professional-drilldowns,presentation,existing_professional_pack,no,no,no,active,Traceable drilldown presentation
professional-linked-digest,presentation,existing_professional_pack,no,no,no,active,Linked professional digest
