priority,area,file_or_module,current_problem,why_it_matters,proposed_simplification,expected_outputs_affected,risk,estimated_effort,should_do_now,notes
P0,Semantic classification,accounting/marts/semantic.py (new),No explicit backend source of truth for true opex vs family withdrawals vs funding vs debt movements,Incorrect operating reporting and notebook/front-end source drift,Add rules-driven semantic classifier and classification_audit.csv,monthly_flow_semantic_split.csv; metric_values.csv; human reports; notebooks,Medium,Medium,yes,Rules can start conservative with unknown/review buckets
P0,Monthly economic flows,accounting/marts/semantic.py (new),per_flow_time_long is raw Flujo/Tipo and not semantically sufficient,Notebooks reinvent classification and metrics mix business concepts,Produce monthly_flow_semantic_split.csv in long format,operating statement; frontend_metric_series; professional reports,Medium,Medium,yes,Keep per_flow_time_long as raw evidence
P0,Operating statement,accounting/marts or accounting/metrics,Monthly P&L logic duplicated in metrics views and legacy metrics,Auditors need monthly actuals that align with Q/Y reports,Produce monthly_operating_statement.csv from semantic flows,income_statement_monthly_last6.csv; IS metrics; notebooks,Medium,Medium,yes,Legacy IS.NET.AFTER_COSTS remains but gets caveat
P0,Cash close,accounting/marts/cash.py (new),daily_cash_position box_balance and per_party outputs can all be interpreted as cash,Frontend may chart internal balances as cash,Produce monthly_cash_close.csv with position_type and frontend_safe flags,BS.CASH.*; public cash charts; human liquidity tables,Medium,Small-Medium,yes,Do not remove daily_cash_position
P1,Metrics frontier,accounting/metrics/frontier.py (new),metric_values.csv mixes legacy and desired semantics and lacks frontend/public suitability,Frontends need a small stable contract with caveats,Generate metric_contract_frontier.csv and frontend_metric_series.csv,public/accounting/latest; notebooks; professional reports,Low-Medium,Medium,yes,Can be additive and backward-compatible
P1,Debt consumption,accounting/debt/balance_views.py or accounting/marts/debt.py,Debt engine outputs are correct but consumption contract is too engine-shaped,Reports need counterparty splits without understanding debt internals,Add monthly_debt_position.csv wrapper over debt_balance_monthly.csv,debt charts; debt metrics; human debt tables,Low,Small,yes,Do not collapse debt resolution logic
P1,Actor netting,accounting/marts/semantic.py (new),per_party_time_long can be confused with cash and lacks semantic buckets,Internal balances/claims need separate audit base,Produce monthly_actor_netting_base.csv from semantic classifier and party expansion,actor analysis notebooks; internal reports,Medium,Medium,yes,Internal-only by default
P1,Publish contract,accounting/publish/latest.py,Public bundle selects report-oriented CSVs rather than frontend metric contract,Frontend source selection remains fragile,Publish frontier artifacts while keeping current selected files,public/accounting/latest,Low,Small,yes,Additive copy list change after frontier exists
P2,Metric registry metadata,accounting/metrics/registry.py,Registry has migration hints but lacks source_table public_flag frontend_suitability and caveats,Consumers cannot distinguish safe vs legacy metrics,Extend registry/frontier metadata rather than overloading labels,metric_contract_frontier.csv; docs,Low,Small-Medium,yes,Prefer separate frontier file if registry compatibility matters
P2,Debt path lookup,accounting/metrics/build.py,Metrics searches multiple debt candidate directories,Fragile lineage and confusing run layout,Pass explicit debt dir or write location into manifest; keep fallback lookup,metric build manifest; debt metrics,Low,Small,not yet,Do after canonical manifests are clearer
P2,Wide report tables,accounting/metrics/build.py and accounting/metrics/views.py,Wide/pivot tables are used near source logic,Automation is harder and month columns drift,Keep wide outputs as presentation only; source them from long canonical tables,metric_views; human reports,Low,Medium,not yet,Do after monthly tables exist
P2,Makefile,lineage/command surface,Makefile,Makefile encodes much implicit pipeline knowledge,Consumers must read Makefile to infer outputs and latest paths,Add generated artifact_contracts.csv or manifest entries for canonical outputs,docs; publish; notebooks,Low,Small,not yet,Keep Makefile operational
P3,Config cleanup,accounting/config.py,General config exists but many pipeline knobs live in Makefile/environment,Hard to discover source-of-truth settings,Document current split and only centralize semantic-table options later,operator docs,Low,Small,no,Not blocking reporting correctness
P3,Human table duplication,accounting/human/tables.py,Human tables duplicate report rollups from metrics views,Potential drift after semantic changes,Rebuild human tables from canonical monthly tables/frontier when available,human report CSV/HTML,Medium,Medium,no,Wait until canonical tables are stable
P3,Notebook source loading,accounting/notebooks/,Notebooks likely choose source artifacts directly,Analyst feedback is harder to operationalize,Add backend loader helper and update notebooks to consume canonical tables,notebooks,Low-Medium,Medium,no,Do after canonical outputs exist
