current_metric_id,current_label,current_namespace,current_semantic_role,current_source_layer,desired_metric_id,desired_namespace,desired_semantic_role,bridge_action,priority,risk,confidence,notes
IS.RENT.TOTAL,Renta total,IS,operating revenue,per_flow/derived,IS.RENT.TOTAL,IS,operating revenue,keep,high,low,medium,Keep as operating rent/revenue source; current registry has disabled rent leaves so total provenance should be confirmed.
IS.CONTRIB.TOTAL,Contribuciones totales,IS,funding/contributions,v_contributions_monthly,FUND.CONTRIB.TOTAL,FUND,family funding,alias,high,medium,high,Legacy ID remains but semantic target is FUND; new shadow metric aliases it.
IS.INCOME.TOTAL,Ingresos totales,IS,coverage income plus funding,derived,COV.INCOME_AND_FUNDING.TOTAL,COV,coverage/income plus funding,deprecate_later,high,high,high,Legacy metric mixes operating rent with family contributions; preserve for compatibility but do not use as clean operating income.
IS.OPEX.TOTAL,Costos operativos totales,IS,operating expense,v_opex_category_monthly,IS.OPEX.TOTAL,IS,operating expense,keep,high,low,high,Keep as operating expense/outflow metric.
IS.NET.AFTER_COSTS,Neto después de costos,IS,legacy coverage result,derived,IS.NET.OPERATING,IS,operating result,create_shadow,high,high,high,Legacy result depends on IS.INCOME.TOTAL including contributions; new shadow IS.NET.OPERATING excludes funding.
IS.DRAWS.PERSONAL,Retiros personales,IS,distribution/draws,ledger,DIST.DRAWS.PERSONAL,DIST,draws/distributions,alias,high,medium,medium,Legacy ID remains but semantic target is DIST; sign depends on current ledger draw detection.
IS.NET.POST_DRAWS,Neto después de retiros,IS,legacy coverage after draws,derived,COV.NET.AFTER_DRAWS,COV,coverage after operating result funding and draws,create_shadow,high,high,high,Legacy metric starts from funding-inclusive IS.NET.AFTER_COSTS; new shadow uses clean operating result plus funding minus draws.
BS.CASH.FB,Fondos FB al cierre,BS,cash stock,daily_cash_position,BS.CASH.FB,BS,cash stock,keep,medium,low,high,Keep closing cash stock.
BS.CASH.PM,Fondos PM al cierre,BS,cash stock,daily_cash_position,BS.CASH.PM,BS,cash stock,keep,medium,low,high,Keep closing cash stock.
BS.CASH.TOTAL,Activos líquidos totales,BS,cash stock,derived,BS.CASH.TOTAL,BS,cash stock,keep,medium,low,high,Keep derived total cash stock.
BS.DEBT.TOTAL.OPEN,Deuda total PM abierta,BS,internal debt stock,debt_balance,ID.TOTAL.CLOSING_BALANCE,ID,internal debt closing balance,alias,medium,medium,medium,Current BS metric remains for compatibility; future ID namespace can explain internal debt detail.
BS.CLAIM.ALE_TO_PM.OPEN,Crédito PM contra Alejandro abierto,BS,claim/receivable stock,debt_balance,BS.REC.PM_FROM_ALEJANDRO,BS,receivable/claim stock,alias,medium,medium,medium,Future name should be confirmed with stakeholders.
BS.DEBT.PM_TO_MI.OPEN,Deuda PM con MI abierta,BS,internal debt stock,debt_balance,ID.PM_TO_MI.CLOSING_BALANCE,ID,internal debt closing balance,alias,medium,medium,medium,Internal counterparty debt can be bridged to ID namespace later.
BS.DEBT.PM_TO_PRIMOS.OPEN,Deuda PM con Primos abierta,BS,internal debt stock,debt_balance,ID.PM_TO_PRIMOS.CLOSING_BALANCE,ID,internal debt closing balance,alias,medium,medium,medium,Internal counterparty debt can be bridged to ID namespace later.
BS.DEBT.PRINCIPAL.OPEN,Principal deuda PM abierto,BS,internal debt principal stock,debt_balance,ID.PRINCIPAL.CLOSING_BALANCE,ID,internal debt principal,alias,medium,medium,medium,Preserve existing BS metric and bridge to ID detail later.
BS.DEBT.INTEREST.OPEN,Interés deuda PM abierto,BS,internal debt interest stock,debt_balance,ID.INTEREST.CLOSING_BALANCE,ID,internal debt interest,alias,medium,medium,medium,Preserve existing BS metric and bridge to ID detail later.
BS.DEBT.NET_PM_POSITION,Posición neta PM frente a deuda,BS,net internal debt position,debt_balance,ID.PM.NET_POSITION,ID,net internal debt position,alias,medium,medium,medium,Currently formula-like stock implemented by a builder; future ID namespace can own explanation.
